"Date","Time","Open","High","Low","Close","Vol","OI","CompositeRSI","HurstExponent"
10/20/2022,16:00,34695,35027,34457,34523,252167,68643,47.91,36.27
10/21/2022,16:00,34579,35367,34272,35293,252167,68597,71.20,40.35
10/24/2022,16:00,35360,35810,35092,35715,213833,69441,74.74,45.22
10/25/2022,16:00,35679,36087,35516,36047,184767,69727,76.76,48.46
10/26/2022,16:00,35996,36381,35914,36042,189237,70349,76.13,52.50
10/27/2022,16:00,36121,36591,36041,36244,230001,76739,77.77,54.82
10/28/2022,16:00,36213,37172,36054,37066,230001,76604,80.68,58.83
10/31/2022,16:00,37090,37111,36787,36945,201242,74932,70.69,60.25
11/01/2022,16:00,36939,37196,36680,36855,224690,74542,61.42,61.35
11/02/2022,16:00,36827,37276,36291,36348,260433,71936,37.17,60.99
11/03/2022,16:00,36356,36443,35908,36187,199602,74858,33.80,61.10
11/04/2022,16:00,36165,36802,36040,36598,276671,74480,61.88,61.48
11/07/2022,16:00,36442,37074,36283,37008,184169,76043,72.26,60.76
11/08/2022,16:00,36984,37536,36936,37345,223719,76269,76.71,62.92
11/09/2022,16:00,37283,37395,36657,36697,217271,73190,44.61,62.02
11/10/2022,16:00,36705,37970,36620,37882,260408,74869,71.08,58.43
11/11/2022,16:00,37966,38152,37579,37933,229775,73492,71.76,60.46
11/14/2022,16:00,37815,38151,37720,37731,178089,71310,58.42,57.39
11/15/2022,16:00,37798,38196,37494,37775,257569,72051,61.16,57.64
11/16/2022,16:00,37739,37903,37641,37761,178326,70842,58.95,58.37
11/17/2022,16:00,37845,37902,37359,37751,170670,70990,56.31,58.43
11/18/2022,16:00,37751,38025,37639,37945,162980,72694,75.69,52.39
11/21/2022,16:00,37932,38069,37755,37905,144240,72870,64.64,48.55
11/22/2022,16:00,37904,38308,37828,38296,142859,77030,79.03,45.11
11/23/2022,16:00,38304,38447,38185,38381,161911,77396,79.99,47.54
11/25/2022,16:00,38425,38563,38376,38526,98196,80063,81.34,50.04
11/28/2022,16:00,38470,38491,37975,38041,177639,78054,41.98,51.68
11/29/2022,16:00,38042,38163,37838,38027,173499,76201,41.42,51.67
11/30/2022,16:00,38036,38817,37793,38769,285453,76034,75.07,53.25
12/01/2022,16:00,38786,38877,38327,38599,217679,76453,62.64,55.19
12/02/2022,16:00,38573,38698,38105,38629,217679,76467,64.36,53.50
12/05/2022,16:00,38610,38633,38053,38156,170593,77020,38.16,51.05
12/06/2022,16:00,38177,38254,37622,37803,196313,76197,32.15,46.88
12/07/2022,16:00,37808,37988,37632,37795,186851,76197,32.03,47.62
12/08/2022,16:00,37788,38099,37652,37973,16164,13222,55.91,48.53
12/09/2022,16:00,37967,38129,37653,37671,83746,25624,37.33,38.18
12/12/2022,16:00,37659,38208,37603,38199,132977,50267,66.53,38.07
12/13/2022,16:00,38174,39158,38090,38318,252504,67241,69.84,41.61
12/14/2022,16:00,38313,38604,37892,38169,183391,72363,54.11,41.58
12/15/2022,16:00,38220,38268,37172,37366,184524,75004,30.60,42.30
12/16/2022,16:00,37345,37425,36799,37058,175316,74809,27.59,47.80
12/19/2022,16:00,37035,37209,36722,36903,138092,75266,26.19,48.57
12/20/2022,16:00,36880,37134,36616,36983,156315,72455,37.10,49.40
12/21/2022,16:00,37078,37575,37071,37499,150659,74752,66.48,49.08
12/22/2022,16:00,37569,37593,36680,37138,165174,72708,44.60,47.27
12/23/2022,16:00,37145,37341,36919,37305,158608,72867,54.86,46.64
12/27/2022,16:00,37329,37543,37166,37346,125976,74715,57.80,47.10
12/28/2022,16:00,37357,37497,36956,36976,137870,74841,33.50,46.53
12/29/2022,16:00,36997,37388,36929,37305,105021,74656,57.41,48.06
12/30/2022,16:00,37281,37300,36919,37215,119354,75966,49.58,48.51
01/03/2023,16:00,37415,37573,36913,37208,196899,79412,48.69,48.33
01/04/2023,16:00,37168,37494,37101,37346,187173,77897,64.51,48.85
01/05/2023,16:00,37310,37397,36873,37000,238427,77892,34.14,49.16
01/06/2023,16:00,37012,37793,36962,37702,238427,77884,66.86,47.83
01/09/2023,16:00,37720,38010,37560,37600,153569,77492,59.27,47.82
01/10/2023,16:00,37604,37800,37419,37779,141916,77195,66.53,48.08
01/11/2023,16:00,37779,38055,37756,38040,122663,78869,73.01,48.94
01/12/2023,16:00,38049,38352,37780,38249,206584,81737,75.99,42.18
01/13/2023,16:00,38238,38394,37936,38346,152638,82105,77.12,39.21
01/17/2023,16:00,38366,38419,37900,37950,189736,82097,41.21,41.48
01/18/2023,16:00,37936,38061,37295,37316,200014,79665,28.97,41.03
01/19/2023,16:00,37298,37321,36997,37069,176088,78602,26.57,41.55
01/20/2023,16:00,37117,37412,36961,37404,165276,76628,50.89,40.56
01/23/2023,16:00,37401,37815,37332,37657,176738,77179,62.08,40.92
01/24/2023,16:00,37662,37836,37404,37756,160727,76889,65.91,38.60
01/25/2023,16:00,37768,37796,37277,37753,182792,77463,65.30,38.27
01/26/2023,16:00,37743,37974,37631,37953,141444,78548,73.40,38.39
01/27/2023,16:00,37928,38171,37829,37976,141444,78546,73.98,39.07
01/30/2023,16:00,37944,38053,37692,37715,150805,76807,37.68,39.41
01/31/2023,16:00,37749,38096,37509,38086,147863,79635,65.23,38.71
02/01/2023,16:00,38062,38337,37554,38078,207744,80531,64.11,38.29
02/02/2023,16:00,38056,38144,37787,38027,194089,83036,54.08,38.42
02/03/2023,16:00,37978,38156,37751,37892,226635,82106,37.68,36.87
02/06/2023,16:00,37816,37940,37615,37864,164848,80640,35.36,38.66
02/07/2023,16:00,37850,38213,37591,38136,273425,85284,69.01,38.04
02/08/2023,16:00,38075,38142,37849,37925,176347,83573,45.10,38.36
02/09/2023,16:00,37973,38217,37560,37664,194883,84398,33.11,37.09
02/10/2023,16:00,37690,37854,37473,37825,186965,83888,51.36,37.76
02/13/2023,16:00,37835,38219,37689,38198,145496,86077,69.17,37.51
02/14/2023,16:00,38206,38481,37782,38051,242934,86228,54.22,38.27
02/15/2023,16:00,38016,38123,37801,38104,158055,87679,58.93,39.84
02/16/2023,16:00,38099,38163,37639,37669,193140,87064,32.44,39.12
02/17/2023,16:00,37649,37819,37444,37796,183815,86677,46.14,31.61
02/21/2023,16:00,37774,37805,37071,37092,192787,89954,27.14,36.00
02/22/2023,16:00,37116,37203,36906,37009,161678,88870,26.10,40.17
02/23/2023,16:00,37027,37224,36746,37112,173203,87072,39.36,43.54
02/24/2023,16:00,37069,37127,36578,36756,179166,87635,26.98,45.91
02/27/2023,16:00,36746,37141,36713,36839,156501,87706,37.79,45.61
02/28/2023,16:00,36870,36951,36537,36612,158685,88508,27.85,46.14
03/01/2023,16:00,36582,36794,36457,36623,188692,87707,30.13,48.35
03/02/2023,16:00,36775,37037,36569,36948,148708,87814,62.55,49.48
03/03/2023,16:00,36934,37360,36883,37344,148708,87652,70.99,49.04
03/06/2023,16:00,37329,37520,37284,37381,135346,87012,71.54,49.65
03/07/2023,16:00,37385,37442,36770,36794,192151,86165,32.78,48.41
03/08/2023,16:00,36805,36869,36556,36743,170993,85571,31.32,49.52
03/09/2023,16:00,36759,36932,36120,36189,306881,67523,22.54,52.82
03/10/2023,16:00,36192,36364,35717,35848,304211,8786,20.18,58.12
03/13/2023,16:00,35976,36278,35423,35738,328730,50480,19.51,59.90
03/14/2023,16:00,35818,36235,35718,36085,235880,69489,50.45,59.94
03/15/2023,16:00,36058,36126,35323,35778,317759,77664,33.95,57.13
03/16/2023,16:00,35752,36204,35468,36167,243128,78553,55.84,55.81
03/17/2023,16:00,36170,36262,35632,35754,233502,79672,35.55,51.17
03/20/2023,16:00,35825,36193,35340,36139,221270,79833,54.63,49.53
03/21/2023,16:00,36157,36513,36124,36457,136933,81620,63.74,46.50
03/22/2023,16:00,36472,36677,35914,35941,185803,79023,37.70,45.11
03/23/2023,16:00,35979,36416,35737,36002,214720,76620,42.11,44.52
03/24/2023,16:00,36064,36168,35628,36117,193251,77004,51.96,44.55
03/27/2023,16:00,36169,36453,36101,36314,136405,78131,63.29,44.77
03/28/2023,16:00,36350,36467,36169,36271,120167,76084,55.64,45.11
03/29/2023,16:00,36305,36607,36299,36586,135013,79062,69.54,45.11
03/30/2023,16:00,36577,36806,36546,36727,136550,82943,71.96,45.72
03/31/2023,16:00,36722,37232,36686,37143,136550,82782,75.61,45.52
04/03/2023,16:00,37124,37504,37119,37469,131790,86487,77.27,44.83
04/04/2023,16:00,37449,37560,37138,37260,138741,87850,56.43,46.42
04/05/2023,16:00,37309,37403,37186,37339,138419,86306,61.46,46.71
04/06/2023,16:00,37317,37399,37169,37342,124315,85826,61.74,48.52
04/07/2023,16:00,37312,37457,37260,37342,13566,85826,61.74,49.99
04/10/2023,16:00,37382,37467,37191,37434,109230,87948,72.56,51.98
04/11/2023,16:00,37449,37636,37413,37535,121326,89779,75.92,54.15
04/12/2023,16:00,37564,37802,37443,37496,170018,89402,60.51,57.90
04/13/2023,16:00,37471,37899,37430,37873,142663,90935,76.86,60.23
04/14/2023,16:00,37813,37958,37560,37720,187280,93265,56.44,61.92
04/17/2023,16:00,37808,37831,37621,37812,128275,94396,64.09,60.76
04/18/2023,16:00,37806,37970,37611,37807,140669,95457,62.84,61.06
04/19/2023,16:00,37787,37788,37625,37716,124516,95986,43.27,63.75
04/20/2023,16:00,37697,37716,37485,37592,147308,95572,33.44,65.98
04/21/2023,16:00,37582,37679,37492,37633,145062,95505,46.20,60.31
04/24/2023,16:00,37605,37707,37458,37684,121541,95977,59.52,59.64
04/25/2023,16:00,37689,37690,37326,37335,179213,98493,30.52,56.78
04/26/2023,16:00,37409,37445,37030,37107,184153,97454,26.75,51.01
04/27/2023,16:00,37127,37650,37104,37612,169860,97873,62.80,46.04
04/28/2023,16:00,37544,37919,37435,37883,169860,97659,70.19,35.95
05/01/2023,16:00,37899,38046,37789,37835,109767,99217,64.39,39.22
05/02/2023,16:00,37794,37871,37203,37455,194061,96202,37.71,37.94
05/03/2023,16:00,37435,37600,37083,37175,184191,94649,30.41,36.44
05/04/2023,16:00,37075,37245,36687,36879,219404,95393,25.97,44.58
05/05/2023,16:00,36873,37505,36856,37422,152675,92474,59.43,42.53
05/08/2023,16:00,37436,37531,37249,37368,104597,92964,55.30,42.51
05/09/2023,16:00,37367,37409,37222,37320,103170,92910,50.01,42.67
05/10/2023,16:00,37313,37537,36980,37285,201173,93333,44.92,41.80
05/11/2023,16:00,37277,37366,36863,37054,151677,96343,29.41,41.66
05/12/2023,16:00,37050,37227,36846,37038,145451,95839,28.83,41.73
05/15/2023,16:00,37004,37189,36895,37081,130107,94434,43.87,41.37
05/16/2023,16:00,37068,37080,36715,36743,145840,94877,25.59,41.34
05/17/2023,16:00,36777,37223,36745,37161,169604,93939,59.47,40.10
05/18/2023,16:00,37156,37334,36964,37301,183601,96193,64.93,39.54
05/19/2023,16:00,37308,37414,37077,37179,181170,95205,50.39,38.94
05/22/2023,16:00,37095,37270,36956,37043,152194,92128,38.43,38.69
05/23/2023,16:00,37079,37162,36753,36815,178436,92167,28.74,38.51
05/24/2023,16:00,36814,36867,36489,36537,184599,90476,23.99,43.20
05/25/2023,16:00,36580,36597,36302,36489,194755,90470,23.37,47.98
05/26/2023,16:00,36475,36885,36407,36808,168329,90221,58.54,48.00
05/30/2023,16:00,36962,37013,36604,36772,203083,92905,53.59,43.87
05/31/2023,16:00,36747,36759,36476,36662,174704,94526,39.24,39.04
06/01/2023,16:00,36593,36895,36420,36786,218205,101567,56.82,37.56
06/02/2023,16:00,36826,37546,36803,37500,218205,100094,74.66,36.97
06/05/2023,16:00,37500,37577,37283,37302,177151,96641,58.31,39.26
