"Date","Time","Open","High","Low","Close","Vol","OI","CompositeRSI","HurstExponent"
02/22/2000,16:00,1975.75,1983.50,1956.25,1970.75,78957,26850,22.83,45.98
02/23/2000,16:00,1969.00,1994.00,1964.25,1983.75,69515,28104,48.86,45.84
02/24/2000,16:00,1984.75,1989.75,1950.75,1975.25,81031,29293,37.54,46.02
02/25/2000,16:00,1975.25,1986.25,1950.75,1957.50,73993,29796,26.46,46.29
02/28/2000,16:00,1960.50,1985.75,1947.25,1968.25,82524,29169,46.39,48.33
02/29/2000,16:00,1969.00,1993.75,1967.75,1991.75,66528,28230,64.61,49.47
03/01/2000,16:00,1992.00,2008.50,1990.75,2004.25,60719,29558,69.10,50.21
03/02/2000,16:00,2004.00,2010.25,1992.25,2004.75,62403,30059,69.30,50.30
03/03/2000,16:00,2004.50,2034.25,2003.25,2030.25,65174,29923,74.92,50.42
03/06/2000,16:00,2030.75,2032.50,2006.00,2014.75,59701,29549,50.27,50.21
03/07/2000,16:00,1996.25,2006.25,1952.75,1953.50,85186,31256,26.43,47.50
03/08/2000,16:00,1974.50,1995.50,1968.00,1985.75,981,1194,49.00,46.54
03/09/2000,16:00,1986.75,2025.25,1978.50,2023.25,49478,5974,63.81,38.60
03/10/2000,16:00,2023.00,2036.00,2013.75,2019.50,65485,9561,60.02,37.41
03/13/2000,16:00,2014.75,2020.00,1983.00,2002.25,69397,11559,43.02,34.04
03/14/2000,16:00,2002.00,2016.00,1978.50,1981.75,77452,12057,32.11,32.97
03/15/2000,16:00,1981.75,2019.25,1976.25,2016.75,84171,16204,60.58,32.51
03/16/2000,16:00,2016.75,2083.25,2015.25,2080.25,81281,19516,74.11,44.60
03/17/2000,16:00,2080.00,2099.50,2070.00,2090.25,65382,19528,75.35,48.05
03/20/2000,16:00,2087.75,2092.25,2068.50,2079.75,57944,19351,61.96,49.03
03/21/2000,16:00,2079.25,2116.00,2065.00,2109.50,69275,20284,73.28,51.35
03/22/2000,16:00,2109.75,2127.00,2105.75,2119.75,63556,19191,75.62,53.85
03/23/2000,16:00,2119.00,2154.75,2111.75,2145.75,68507,20348,79.41,58.46
03/24/2000,16:00,2144.50,2176.00,2137.00,2157.25,67498,20996,80.50,61.55
03/27/2000,16:00,2154.00,2156.25,2137.75,2140.75,47937,21853,55.02,61.63
03/28/2000,16:00,2141.75,2151.25,2124.75,2131.00,60846,23252,45.29,61.60
03/29/2000,16:00,2131.00,2143.00,2116.75,2131.75,60070,22668,47.20,61.20
03/30/2000,16:00,2131.25,2136.75,2095.25,2106.25,67180,23213,31.91,60.12
03/31/2000,16:00,2107.00,2140.50,2102.75,2119.25,58120,24538,53.15,59.82
04/03/2000,16:00,2113.75,2130.50,2103.75,2130.25,69157,25418,64.73,59.81
04/04/2000,16:00,2130.75,2146.50,2032.75,2117.75,20172,23915,46.42,55.20
04/05/2000,16:00,2116.50,2123.50,2093.00,2106.25,13765,24035,37.12,54.34
04/06/2000,16:00,2105.75,2132.50,2103.25,2118.25,62641,24682,58.02,55.09
04/07/2000,16:00,2118.25,2136.75,2115.50,2132.00,59600,25173,69.61,55.13
04/10/2000,16:00,2132.25,2145.75,2119.75,2122.75,71268,25287,52.03,55.62
04/11/2000,16:00,2122.00,2131.00,2099.25,2119.50,87236,27598,46.44,55.87
04/12/2000,16:00,2120.25,2126.25,2076.75,2077.75,79953,28279,28.04,48.33
04/13/2000,16:00,2078.25,2094.25,2053.00,2057.75,81672,24774,25.63,45.69
04/14/2000,16:00,2057.00,2064.50,1948.75,1969.00,89863,28399,20.07,57.36
04/17/2000,16:00,1946.00,2019.25,1946.00,2017.00,88854,28620,45.93,55.79
04/18/2000,16:00,2017.00,2057.25,2002.75,2050.50,90179,29110,58.14,55.66
04/19/2000,16:00,2050.25,2061.75,2037.00,2041.00,79567,29695,51.53,55.52
04/20/2000,16:00,2041.75,2048.75,2033.25,2048.50,52356,31236,56.91,56.59
04/24/2000,16:00,2044.50,2044.50,2018.75,2039.25,84006,31969,44.85,53.96
04/25/2000,16:00,2040.00,2091.50,2039.00,2091.25,76239,34442,70.62,51.87
04/26/2000,16:00,2090.00,2097.00,2068.75,2075.75,74709,33471,55.55,51.02
04/27/2000,16:00,2076.75,2082.50,2042.25,2069.75,82034,34645,49.26,50.48
04/28/2000,16:00,2069.75,2089.00,2059.75,2062.25,55736,35075,40.89,50.95
05/01/2000,16:00,2060.75,2094.50,2059.75,2078.50,70484,34949,61.84,51.07
05/02/2000,16:00,2078.50,2080.50,2050.75,2053.25,76428,34713,37.15,50.95
05/03/2000,16:00,2052.50,2053.25,2006.25,2024.25,89986,34415,28.12,53.48
05/04/2000,16:00,2025.75,2030.50,2013.25,2025.25,69945,34567,29.96,54.04
05/05/2000,16:00,2025.25,2047.75,2007.75,2041.75,62443,35239,55.32,53.59
05/08/2000,16:00,2040.25,2041.25,2026.25,2032.50,68052,35754,42.67,53.83
05/09/2000,16:00,2032.00,2041.50,2011.25,2021.00,79134,35460,32.67,51.09
05/10/2000,16:00,2020.50,2027.50,1984.75,1990.50,95745,37312,24.13,49.77
05/11/2000,16:00,1990.00,2020.75,1984.25,2017.25,71052,38982,52.18,44.40
05/12/2000,16:00,2019.75,2040.50,2016.00,2033.00,66862,39447,61.37,45.10
05/15/2000,16:00,2031.25,2061.25,2025.00,2059.25,67375,40948,69.97,48.68
05/16/2000,16:00,2059.25,2080.50,2058.00,2073.50,75672,41726,72.78,41.43
05/17/2000,16:00,2072.50,2072.50,2050.00,2058.50,80821,41015,51.14,43.06
05/18/2000,16:00,2057.75,2067.50,2043.25,2043.50,75011,42260,38.13,43.09
05/19/2000,16:00,2043.50,2048.75,2008.75,2017.25,74207,43329,28.25,41.79
05/22/2000,16:00,2014.75,2025.00,1974.25,2006.25,99118,42667,25.93,43.56
05/23/2000,16:00,2005.75,2013.25,1980.50,1984.25,86805,37440,22.90,44.57
05/24/2000,16:00,1983.75,2009.75,1967.25,2004.00,100591,40519,48.86,45.04
05/25/2000,16:00,2005.75,2019.50,1979.75,1991.00,82947,36695,37.71,45.06
05/26/2000,16:00,1989.75,1998.25,1975.00,1984.00,64458,37182,32.63,45.37
05/30/2000,16:00,1985.25,2030.50,1983.25,2029.00,69512,38834,66.39,40.85
05/31/2000,16:00,2029.00,2040.75,2021.25,2023.75,85402,37164,59.54,41.36
06/01/2000,16:00,2023.75,2055.50,2022.00,2053.50,80777,40651,70.51,42.06
06/02/2000,16:00,2052.50,2093.75,2048.75,2077.25,66869,44663,74.38,44.34
06/05/2000,16:00,2079.75,2082.25,2069.50,2072.50,74361,44509,66.13,45.73
06/06/2000,16:00,2073.00,2078.50,2059.00,2065.25,73797,42314,52.32,45.52
06/07/2000,16:00,2044.00,2058.00,2038.00,2053.00,66898,44076,37.68,45.67
06/08/2000,16:00,2075.50,2080.50,2061.00,2068.75,56169,6983,60.46,46.47
06/09/2000,16:00,2069.50,2085.25,2057.25,2065.00,52856,11808,52.87,46.93
06/12/2000,16:00,2063.00,2071.00,2049.00,2049.50,59590,16107,34.80,47.06
06/13/2000,16:00,2049.00,2076.50,2046.25,2074.75,88338,16638,63.59,47.39
06/14/2000,16:00,2074.75,2088.00,2070.00,2078.25,80800,19892,65.85,47.64
06/15/2000,16:00,2077.50,2086.75,2066.75,2078.75,77996,20958,66.36,47.83
06/16/2000,16:00,2078.50,2084.50,2060.00,2068.50,67957,21204,40.44,47.81
06/19/2000,16:00,2068.00,2094.75,2063.75,2085.75,69943,22552,65.90,48.58
06/20/2000,16:00,2086.25,2089.75,2071.25,2079.25,76061,20681,52.30,50.44
06/21/2000,16:00,2078.00,2084.00,2068.75,2079.25,69601,20540,52.30,51.49
06/22/2000,16:00,2078.50,2080.25,2049.00,2056.75,74457,23344,29.64,50.10
06/23/2000,16:00,2056.00,2060.00,2037.50,2044.50,60199,24974,26.69,51.19
06/26/2000,16:00,2044.00,2060.75,2044.00,2059.50,63208,23330,53.31,49.23
06/27/2000,16:00,2059.75,2064.75,2050.00,2051.50,59772,26698,42.58,37.52
06/28/2000,16:00,2051.50,2068.50,2050.50,2051.25,62665,27108,42.16,37.28
06/29/2000,16:00,2052.25,2054.25,2031.50,2038.75,82982,29836,29.28,33.37
06/30/2000,16:00,2037.25,2051.50,2035.50,2051.00,58376,29260,55.86,35.52
07/03/2000,16:00,2052.50,2071.25,2048.00,2069.00,18739,30813,69.09,34.73
07/05/2000,16:00,2067.75,2073.75,2039.00,2044.00,67641,32320,39.96,33.61
07/06/2000,16:00,2044.00,2059.50,2036.75,2054.50,71125,31507,52.68,33.93
07/07/2000,16:00,2054.75,2082.75,2053.75,2075.00,70694,32216,67.01,33.82
07/10/2000,16:00,2074.50,2083.25,2070.50,2072.25,66398,30800,61.37,34.95
07/11/2000,16:00,2071.50,2086.00,2066.50,2075.50,81991,31468,65.19,35.14
07/12/2000,16:00,2077.50,2095.25,2077.50,2086.25,68192,30808,72.90,36.20
07/13/2000,16:00,2086.75,2097.25,2083.00,2091.00,71409,31357,74.78,37.53
07/14/2000,16:00,2090.50,2106.50,2090.00,2104.50,64542,31846,77.60,42.20
07/17/2000,16:00,2103.75,2113.50,2100.00,2102.50,58964,31624,69.33,46.05
07/18/2000,16:00,2102.00,2105.00,2086.50,2092.75,74555,32529,43.17,47.08
07/19/2000,16:00,2092.50,2094.50,2073.75,2080.75,74457,33212,32.63,46.89
07/20/2000,16:00,2081.00,2097.75,2078.50,2096.50,72999,37206,60.65,46.56
07/21/2000,16:00,2096.25,2096.75,2069.00,2070.25,63935,32214,36.22,46.85
07/24/2000,16:00,2069.75,2080.00,2056.75,2061.25,76214,34414,32.08,46.79
07/25/2000,16:00,2061.25,2068.50,2058.25,2065.25,74691,33635,41.72,47.33
07/26/2000,16:00,2065.25,2065.75,2046.50,2050.50,77470,35950,30.20,46.95
07/27/2000,16:00,2048.50,2056.25,2036.50,2044.00,85698,38093,27.43,46.81
07/28/2000,16:00,2043.75,2049.50,2004.00,2011.75,85342,40549,21.89,54.63
07/31/2000,16:00,2012.00,2029.75,2009.25,2019.25,76129,40736,35.61,54.28
08/01/2000,16:00,2020.00,2035.00,2017.50,2027.75,75506,40651,49.92,54.73
08/02/2000,16:00,2027.50,2042.25,2023.00,2033.00,78730,40628,57.53,55.97
08/03/2000,16:00,2031.25,2045.50,2013.75,2042.50,86320,40255,66.59,55.24
08/04/2000,16:00,2042.50,2054.00,2039.50,2052.00,76949,40223,71.12,56.42
08/07/2000,16:00,2051.75,2071.00,2050.00,2067.50,65354,40956,74.59,55.75
08/08/2000,16:00,2066.75,2074.75,2059.50,2073.00,62031,42854,75.43,56.09
08/09/2000,16:00,2073.00,2080.00,2059.75,2061.25,66767,44413,46.47,56.05
08/10/2000,16:00,2061.75,2065.25,2048.75,2054.25,57852,43623,37.31,55.87
08/11/2000,16:00,2053.75,2065.25,2041.00,2059.75,64405,43186,52.30,55.24
08/14/2000,16:00,2059.75,2080.00,2056.25,2079.25,54212,43297,70.73,51.74
08/15/2000,16:00,2078.50,2081.50,2071.50,2075.50,57815,45444,60.71,49.92
08/16/2000,16:00,2072.25,2083.25,2062.50,2074.00,70707,46336,55.44,49.92
08/17/2000,16:00,2072.25,2087.50,2067.00,2084.00,66725,48266,70.23,49.46
08/18/2000,16:00,2084.00,2088.50,2075.50,2081.50,99394,46519,59.21,47.54
08/21/2000,16:00,2081.50,2090.25,2077.75,2087.50,47849,47944,69.42,49.12
08/22/2000,16:00,2087.50,2095.25,2083.50,2087.75,49036,48995,69.79,50.88
08/23/2000,16:00,2088.00,2094.00,2075.25,2090.50,65125,49496,73.82,50.92
08/24/2000,16:00,2091.00,2096.75,2086.75,2095.50,52060,47291,76.81,52.29
08/25/2000,16:00,2097.00,2099.50,2090.50,2093.50,43327,48892,60.11,54.69
08/28/2000,16:00,2094.00,2110.50,2091.50,2099.00,64224,49293,72.28,57.15
08/29/2000,16:00,2099.50,2100.00,2089.75,2098.75,60904,50704,69.81,57.85
08/30/2000,16:00,2099.00,2099.50,2083.50,2084.50,60102,53148,32.25,58.17
08/31/2000,16:00,2085.00,2110.00,2084.25,2101.75,59845,45039,64.06,48.44
09/01/2000,16:00,2103.25,2120.50,2099.75,2103.50,52305,46971,65.96,51.59
09/05/2000,16:00,2106.25,2107.25,2087.00,2092.50,64717,45253,42.01,51.66
09/06/2000,16:00,2092.75,2093.00,2092.00,2092.75,77698,45282,42.97,53.10
09/07/2000,16:00,2074.50,2088.25,2074.00,2087.75,10388,44138,34.17,53.26
09/08/2000,16:00,2086.75,2087.00,2071.50,2077.25,6454,42275,27.62,53.28
09/11/2000,16:00,2074.25,2087.75,2062.00,2070.50,101121,18244,25.68,46.02
09/12/2000,16:00,2070.50,2077.00,2059.00,2060.50,82766,21152,23.77,45.15
09/13/2000,16:00,2059.75,2067.00,2050.75,2063.75,102121,23253,37.75,48.71
09/14/2000,16:00,2064.25,2073.00,2055.25,2059.25,86796,20436,31.14,49.02
09/15/2000,16:00,2058.50,2066.00,2037.25,2040.00,165128,25628,22.72,54.08
09/18/2000,16:00,2041.50,2046.00,2018.50,2023.75,104794,29453,20.18,59.42
09/19/2000,16:00,2023.25,2039.00,2023.00,2034.75,103371,28669,43.18,59.08
09/20/2000,16:00,2035.00,2036.75,2006.50,2025.75,109667,27131,33.08,61.06
09/21/2000,16:00,2026.50,2030.25,2011.75,2025.50,98528,28720,32.76,61.09
09/22/2000,16:00,2011.00,2027.25,1993.00,2024.75,194832,30882,31.18,62.68
09/25/2000,16:00,2025.75,2034.00,2011.75,2017.25,85491,29527,22.57,61.56
09/26/2000,16:00,2017.25,2023.25,1998.75,1999.25,99803,31344,18.39,61.11
09/27/2000,16:00,2000.25,2012.25,1994.50,2003.00,101916,31265,30.96,60.50
09/28/2000,16:00,2004.00,2037.25,2001.25,2032.25,84280,33990,64.54,58.94
09/29/2000,16:00,2029.25,2029.50,2010.25,2010.25,156554,32328,39.55,59.23
10/02/2000,16:00,2010.00,2020.50,2003.75,2012.50,83093,34114,42.91,55.87
10/03/2000,16:00,2013.50,2030.25,1995.00,1997.50,89040,38656,28.83,50.28
10/04/2000,16:00,1998.25,2013.50,1988.75,2006.50,101607,43305,46.45,48.37
10/05/2000,16:00,2005.75,2018.25,2003.50,2012.50,92232,43395,55.64,48.49
10/06/2000,16:00,2012.25,2016.75,1967.75,1982.50,189890,46223,26.31,52.63
10/09/2000,16:00,1981.50,1983.00,1964.25,1972.75,66336,45985,23.02,51.02
10/10/2000,16:00,1973.75,1980.75,1946.25,1947.25,105576,50733,18.08,53.82
10/11/2000,16:00,1949.75,1954.25,1918.00,1934.75,130958,50132,16.62,59.24
10/12/2000,16:00,1935.75,1944.00,1895.25,1900.25,108679,52535,14.02,60.56
10/13/2000,16:00,1902.50,1944.00,1895.75,1942.50,172096,53559,49.80,55.25
10/16/2000,16:00,1942.25,1950.00,1934.50,1948.25,84809,51654,53.08,54.37
10/17/2000,16:00,1947.25,1951.75,1911.25,1916.25,99262,53411,30.20,52.54
10/18/2000,16:00,1919.00,1928.25,1880.25,1910.00,111665,54167,27.34,54.90
10/19/2000,16:00,1912.25,1960.25,1912.25,1958.00,88966,52836,61.36,53.20
10/20/2000,16:00,1958.25,1978.25,1950.75,1967.00,143622,49488,64.26,53.55
10/23/2000,16:00,1967.25,1976.00,1956.00,1973.25,84597,51387,66.57,53.67
10/24/2000,16:00,1971.50,1985.00,1955.25,1960.50,98771,52150,44.24,53.39
10/25/2000,16:00,1961.50,1961.75,1926.75,1930.25,110258,54001,26.66,52.50
10/26/2000,16:00,1931.00,1940.50,1904.75,1927.25,118206,53377,25.66,50.99
10/27/2000,16:00,1926.25,1958.25,1924.25,1956.25,160564,50593,58.97,50.38
10/30/2000,16:00,1954.25,1975.75,1943.25,1969.00,101978,52878,64.97,49.60
10/31/2000,16:00,1965.25,2001.75,1964.75,1995.25,89597,53489,71.84,46.73
11/01/2000,16:00,1992.50,1995.75,1975.75,1990.50,92930,50896,63.02,46.96
11/02/2000,16:00,1990.75,1991.75,1986.25,1991.25,77315,52226,63.71,47.05
11/03/2000,16:00,1990.50,2000.75,1986.75,1993.00,133920,53697,66.06,44.97
11/06/2000,16:00,1992.25,2008.75,1992.25,2001.75,57591,54685,72.61,46.96
11/07/2000,16:00,2000.75,2002.25,1988.25,2000.00,62985,53694,62.53,48.06
11/08/2000,16:00,2000.00,2011.25,1966.75,1968.25,88003,57393,27.27,48.26
11/09/2000,16:00,1970.00,1977.00,1934.75,1959.75,109751,65336,25.30,48.61
11/10/2000,16:00,1961.00,1964.25,1926.75,1928.50,181414,68213,21.23,49.20
11/13/2000,16:00,1925.25,1929.25,1891.25,1915.00,121489,73784,20.11,47.97
11/14/2000,16:00,1915.25,1956.00,1914.75,1950.25,101344,69572,55.86,47.93
11/15/2000,16:00,1950.50,1960.75,1937.75,1953.75,89420,66354,58.07,46.37
11/16/2000,16:00,1953.00,1959.00,1932.75,1935.50,86732,63934,37.55,47.74
11/17/2000,16:00,1935.00,1949.75,1916.50,1927.00,180156,70468,31.64,47.41
11/20/2000,16:00,1926.00,1929.75,1901.50,1904.00,82152,72780,23.47,46.94
11/21/2000,16:00,1904.50,1919.00,1892.75,1912.25,81882,72952,38.84,47.14
11/22/2000,16:00,1912.25,1917.25,1878.25,1880.00,76674,73138,23.96,50.34
11/24/2000,16:00,1879.50,1905.75,1876.50,1904.00,48250,72330,48.95,51.15
11/27/2000,16:00,1911.25,1924.00,1909.50,1913.25,89335,70960,55.84,51.96
11/28/2000,16:00,1914.75,1920.75,1893.75,1896.00,114270,68834,37.13,52.28
11/29/2000,16:00,1894.25,1913.75,1889.25,1891.50,111993,77494,33.34,53.03
11/30/2000,16:00,1889.00,1890.00,1853.00,1877.25,121701,78537,24.99,57.30
12/01/2000,16:00,1877.75,1894.50,1866.25,1877.00,187168,76201,24.87,55.99
12/04/2000,16:00,1879.25,1893.75,1869.50,1886.00,92525,77257,51.75,55.41
12/05/2000,16:00,1887.75,1936.50,1885.25,1930.50,95795,77650,71.00,53.54
12/06/2000,16:00,1929.25,1935.75,1895.50,1910.75,99873,78914,49.38,52.19
12/07/2000,16:00,1910.50,1918.25,1891.50,1893.25,12054,65126,36.69,44.96
12/08/2000,16:00,1906.25,1957.75,1903.25,1909.50,90260,16708,53.40,40.20
12/11/2000,16:00,1937.75,1963.50,1932.50,1954.25,14101,18846,70.08,39.16
12/12/2000,16:00,1954.25,1954.25,1941.75,1951.00,60271,24123,65.71,40.43
12/13/2000,16:00,1951.75,1960.50,1926.75,1928.50,89321,27509,41.55,40.81
12/14/2000,16:00,1929.25,1934.75,1907.25,1909.50,96950,31718,31.86,40.58
12/15/2000,16:00,1901.50,1910.00,1874.75,1877.00,98399,31810,24.47,40.13
12/18/2000,16:00,1881.25,1904.00,1880.75,1897.25,91611,34533,46.28,40.44
12/19/2000,16:00,1898.00,1918.00,1868.50,1869.00,98051,36592,31.73,39.38
12/20/2000,16:00,1870.00,1877.25,1827.25,1831.50,107160,43025,23.63,45.23
12/21/2000,16:00,1831.75,1855.50,1821.50,1839.75,99016,48531,33.65,46.84
12/22/2000,16:00,1841.00,1878.75,1841.00,1878.50,110880,45180,60.09,46.38
12/26/2000,16:00,1875.25,1889.25,1869.75,1887.75,44482,49136,63.60,46.41
12/27/2000,16:00,1888.75,1902.75,1878.75,1901.00,65382,36510,68.21,46.55
12/28/2000,16:00,1901.00,1905.50,1892.75,1904.25,56807,37684,69.33,47.11
12/29/2000,16:00,1904.00,1907.75,1877.25,1878.25,100726,37977,34.92,47.50
01/02/2001,16:00,1882.25,1888.00,1840.50,1851.25,92668,44738,26.10,46.57
01/03/2001,16:00,1852.25,1918.50,1840.00,1910.25,130684,43668,62.24,44.09
01/04/2001,16:00,1911.25,1916.75,1892.75,1900.25,110846,47325,54.31,45.31
01/05/2001,16:00,1897.00,1931.25,1854.25,1855.25,117776,53523,32.85,43.68
01/08/2001,16:00,1859.50,1863.75,1838.75,1860.75,120010,54621,38.46,43.75
01/09/2001,16:00,1863.25,1876.75,1855.00,1860.00,115968,55145,37.85,45.67
01/10/2001,16:00,1860.75,1880.00,1848.50,1878.25,131074,56216,60.74,46.01
01/11/2001,16:00,1877.00,1894.75,1870.75,1886.25,96098,54603,65.71,45.47
01/12/2001,16:00,1883.25,1896.00,1873.25,1881.25,219328,59082,52.51,39.15
01/16/2001,16:00,1880.00,1890.75,1874.75,1886.50,103751,58589,61.11,38.65
01/17/2001,16:00,1888.50,1909.00,1885.75,1892.75,120321,65060,67.67,39.24
01/18/2001,16:00,1893.75,1915.25,1888.25,1907.00,119657,67769,73.09,39.24
01/19/2001,16:00,1910.25,1923.00,1897.00,1898.50,222196,62735,50.95,40.42
01/22/2001,16:00,1897.25,1915.25,1892.50,1909.25,111996,58859,64.25,41.84
01/23/2001,16:00,1908.00,1924.00,1899.75,1917.25,105167,57178,69.64,36.65
01/24/2001,16:00,1917.50,1930.25,1916.50,1921.25,104969,54715,71.79,38.05
01/25/2001,16:00,1921.00,1930.00,1914.00,1916.25,100092,55256,51.60,38.25
01/26/2001,16:00,1914.25,1918.00,1901.50,1913.50,188824,53231,43.03,38.68
01/29/2001,16:00,1914.00,1925.25,1909.75,1922.00,128918,52070,65.28,38.52
01/30/2001,16:00,1920.50,1935.50,1914.50,1931.00,75169,55009,72.25,40.57
01/31/2001,16:00,1931.25,1933.75,1931.00,1932.25,88591,56204,72.96,43.27
02/01/2001,16:00,1924.75,1934.75,1917.50,1933.75,101060,59540,74.04,47.38
02/02/2001,16:00,1933.75,1937.25,1904.00,1904.50,204840,62380,28.93,47.33
02/05/2001,16:00,1905.50,1914.25,1902.50,1914.00,185372,63966,46.59,52.23
02/06/2001,16:00,1914.00,1921.75,1907.25,1907.50,91098,61461,38.92,49.62
02/07/2001,16:00,1906.25,1907.75,1890.75,1900.50,105297,67010,32.43,50.01
02/08/2001,16:00,1900.00,1907.75,1885.00,1886.50,101416,64997,26.22,41.12
02/09/2001,16:00,1887.50,1889.75,1870.00,1872.25,179542,66315,23.47,41.86
02/12/2001,16:00,1873.00,1889.25,1870.50,1885.25,109598,64670,49.22,42.21
02/13/2001,16:00,1885.50,1893.25,1873.50,1877.50,115469,66157,38.88,41.89
02/14/2001,16:00,1877.50,1878.00,1859.75,1871.00,138185,64188,32.14,47.06
02/15/2001,16:00,1871.25,1887.00,1869.75,1884.75,101489,64592,58.26,47.93
02/16/2001,16:00,1881.50,1881.50,1847.50,1856.25,193030,65876,31.12,51.83
02/20/2001,16:00,1855.50,1862.75,1833.00,1836.75,111725,68764,25.02,56.22
02/21/2001,16:00,1835.75,1839.75,1806.25,1806.75,146905,71825,20.30,63.05
02/22/2001,16:00,1809.25,1816.00,1781.50,1808.50,160101,73959,23.63,67.13
02/23/2001,16:00,1808.75,1813.00,1768.25,1797.50,290470,77848,20.70,67.63
02/26/2001,16:00,1802.50,1825.50,1795.00,1824.50,121179,78171,55.79,66.59
02/27/2001,16:00,1824.25,1828.25,1805.50,1815.25,142433,79751,43.89,66.07
02/28/2001,16:00,1815.00,1820.25,1782.00,1789.50,152581,79606,27.02,64.86
03/01/2001,16:00,1790.50,1795.25,1766.75,1794.75,148163,81859,36.09,63.43
03/02/2001,16:00,1794.25,1805.50,1772.25,1785.25,290320,88472,28.19,62.39
03/05/2001,16:00,1787.50,1795.75,1786.00,1794.75,104966,86931,47.64,60.69
03/06/2001,16:00,1794.75,1821.75,1793.75,1808.00,128315,87845,61.05,59.63
03/07/2001,16:00,1808.25,1818.00,1806.00,1817.00,136392,87658,65.96,56.63
03/08/2001,16:00,1815.75,1819.25,1808.25,1816.75,104167,18990,64.90,57.02
03/09/2001,16:00,1816.75,1817.00,1777.25,1781.25,126493,26887,24.72,52.30
03/12/2001,16:00,1780.75,1783.25,1722.25,1727.75,145811,31552,17.89,59.85
03/13/2001,16:00,1729.75,1748.75,1720.75,1746.25,171907,34472,35.70,59.61
03/14/2001,16:00,1747.25,1748.25,1702.75,1715.75,180953,41603,25.01,60.35
03/15/2001,16:00,1717.50,1731.25,1711.25,1722.00,124837,40428,32.91,60.26
03/16/2001,16:00,1723.25,1729.75,1694.75,1698.25,150117,48988,22.81,59.74
03/19/2001,16:00,1701.50,1723.50,1695.00,1717.00,116313,48242,44.99,56.68
03/20/2001,16:00,1717.25,1730.00,1688.00,1689.00,148873,45487,27.75,52.63
03/21/2001,16:00,1689.75,1698.00,1663.75,1669.50,184502,51577,21.89,55.28
03/22/2001,16:00,1669.75,1673.50,1624.75,1655.75,201555,60347,18.95,61.64
03/23/2001,16:00,1659.00,1691.75,1657.25,1690.00,318416,56448,52.23,62.09
