Date,Time,Open,High,Low,Close,Vol,OI
03/19/2007,16:00,1073.5,1085.0,1072.8,1083.3,16414,73431
03/20/2007,16:00,1083.4,1091.4,1081.5,1090.5,20076,75845
03/21/2007,16:00,1090.2,1104.2,1088.3,1102.6,20961,76869
03/22/2007,16:00,1102.7,1106.7,1100.4,1104.7,19638,77937
03/23/2007,16:00,1104.2,1108.4,1103.8,1107.2,20863,84139
03/26/2007,16:00,1106.4,1108.3,1098.6,1104.4,19440,84471
03/27/2007,16:00,1103.8,1104.6,1099.3,1103.9,15119,84708
03/28/2007,16:00,1103.3,1103.4,1093.0,1098.9,27070,84042
03/29/2007,16:00,1099.0,1103.7,1091.8,1097.2,20152,84970
03/30/2007,16:00,1097.6,1103.4,1093.0,1098.9,23151,86329
04/02/2007,16:00,1099.2,1103.3,1097.1,1102.2,16077,87274
04/03/2007,16:00,1102.0,1110.4,1102.0,1108.1,16360,87723
04/04/2007,16:00,1107.3,1110.1,1105.5,1108.6,13207,87479
04/05/2007,16:00,1109.2,1113.1,1107.9,1109.7,8359,87013
04/06/2007,16:00,1109.7,1113.2,1108.8,1109.7,166,87012
04/09/2007,16:00,1109.8,1114.1,1109.6,1112.6,9774,87337
04/10/2007,16:00,1112.1,1116.4,1110.9,1114.2,11874,87997
04/11/2007,16:00,1114.1,1115.6,1106.7,1109.4,18109,88547
04/12/2007,16:00,1109.2,1115.5,1104.2,1114.4,19558,90083
04/13/2007,16:00,1114.3,1118.8,1111.9,1117.0,12927,90624
04/16/2007,16:00,1117.5,1126.5,1117.1,1125.7,14118,91619
04/17/2007,16:00,1125.2,1128.1,1123.0,1125.3,23996,91123
04/18/2007,16:00,1125.2,1126.1,1117.8,1123.6,19693,88885
04/19/2007,16:00,1123.4,1123.6,1114.8,1120.4,21977,88118
04/20/2007,16:00,1120.1,1129.8,1119.5,1129.5,16013,89466
04/23/2007,16:00,1129.8,1131.7,1126.1,1130.3,13574,89434
04/24/2007,16:00,1130.8,1132.8,1123.5,1130.3,19278,89827
04/25/2007,16:00,1130.3,1137.6,1128.1,1134.5,17690,91264
04/26/2007,16:00,1134.9,1138.9,1131.5,1138.5,11965,91339
04/27/2007,16:00,1137.8,1138.7,1131.7,1134.3,14362,91518
04/30/2007,16:00,1134.3,1136.5,1120.0,1121.3,19980,90118
05/01/2007,16:00,1119.8,1124.9,1114.5,1123.4,21206,91590
05/02/2007,16:00,1123.4,1135.2,1122.2,1133.2,16888,93126
05/03/2007,16:00,1133.2,1137.1,1131.7,1134.7,17837,90873
05/04/2007,16:00,1134.7,1141.0,1134.2,1140.6,17358,91227
05/07/2007,16:00,1140.4,1141.8,1137.9,1139.0,10356,90445
05/08/2007,16:00,1138.9,1140.2,1130.0,1138.0,20250,89583
05/09/2007,16:00,1138.2,1147.2,1135.8,1143.4,22210,90681
05/10/2007,16:00,1143.1,1143.2,1131.8,1134.9,27688,89477
05/11/2007,16:00,1135.1,1141.8,1133.4,1140.5,15494,89783
05/14/2007,16:00,1139.6,1143.3,1133.7,1137.8,19018,89547
05/15/2007,16:00,1137.6,1143.1,1132.7,1134.6,30029,90696
05/16/2007,16:00,1134.7,1138.7,1130.0,1137.2,23302,91503
05/17/2007,16:00,1137.3,1142.8,1133.9,1137.7,21928,92043
05/18/2007,16:00,1137.8,1146.0,1136.5,1143.7,20122,92780
05/21/2007,16:00,1144.3,1153.8,1139.4,1151.2,21920,93978
05/22/2007,16:00,1150.3,1155.4,1148.3,1151.5,19681,93738
05/23/2007,16:00,1151.5,1158.1,1148.4,1149.8,19813,92621
05/24/2007,16:00,1149.6,1153.5,1133.7,1136.3,34650,89582
05/25/2007,16:00,1136.2,1142.3,1135.8,1141.6,16226,89613
05/28/2007,16:00,1141.9,1142.8,1141.7,1141.8,23,89582
05/29/2007,16:00,1141.9,1149.6,1141.7,1146.8,22249,90630
05/30/2007,16:00,1146.1,1156.8,1139.0,1156.6,29508,94480
05/31/2007,16:00,1156.6,1163.1,1156.1,1160.8,27290,91283
06/01/2007,16:00,1161.1,1168.1,1160.1,1165.9,24184,91654
06/04/2007,16:00,1165.1,1170.5,1161.9,1169.6,22133,94179
