Date,Close,High,Low,Open,Vol,Session
2019-10-11,2192.9,2209.5,2163.3,2168.0,19318,
2019-10-14,2184.8,2201.4,2177.7,2193.9,6255,
2019-10-15,2199.7,2206.1,2184.1,2184.1,10146,
2019-10-16,2198.3,2206.0,2190.8,2200.2,14511,
2019-10-17,2214.2,2217.3,2195.5,2198.9,17037,
2019-10-18,2212.5,2217.1,2201.0,2215.3,10450,
2019-10-21,2223.4,2233.0,2210.2,2210.3,9520,
2019-10-22,2222.5,2233.8,2217.9,2225.2,7422,
2019-10-23,2224.3,2227.1,2215.7,2221.5,5600,
2019-10-24,2224.7,2233.6,2215.4,2227.9,6625,
2019-10-25,2234.5,2240.6,2221.1,2224.0,7479,
2019-10-28,2246.3,2256.3,2235.0,2235.5,9164,
2019-10-29,2251.0,2256.3,2237.9,2247.0,12366,
2019-10-30,2245.1,2251.4,2233.4,2251.2,12899,
2019-10-31,2230.4,2247.1,2220.9,2246.9,14499,
2019-11-01,2259.0,2259.6,2229.7,2231.3,14499,
2019-11-04,2270.2,2274.4,2258.7,2258.7,11628,
2019-11-05,2274.8,2285.8,2267.3,2268.0,8902,
2019-11-06,2265.7,2276.9,2259.8,2273.2,9105,
2019-11-07,2268.2,2286.0,2263.7,2267.4,10505,
2019-11-08,2273.9,2275.7,2259.9,2268.5,8736,
2019-11-11,2270.2,2274.9,2260.3,2274.4,7346,
2019-11-12,2266.8,2278.7,2263.4,2270.9,9147,
2019-11-13,2262.5,2267.7,2252.3,2267.2,12370,
2019-11-14,2266.9,2270.1,2257.7,2267.0,12177,
2019-11-15,2276.5,2280.2,2266.6,2266.6,7832,
2019-11-18,2273.0,2280.8,2267.3,2275.7,9432,
2019-11-19,2277.5,2282.2,2268.7,2273.3,10622,
2019-11-20,2270.2,2280.8,2256.6,2275.8,15159,
2019-11-21,2256.3,2276.7,2253.6,2265.5,11422,
2019-11-22,2261.4,2265.5,2253.6,2255.8,9125,
2019-11-25,2285.4,2288.3,2267.2,2268.3,12486,
2019-11-26,2293.4,2296.8,2281.0,2285.4,11400,
2019-11-27,2306.6,2307.6,2294.7,2295.4,9099,
2019-11-29,2285.4,2303.6,2283.6,2298.6,13884,
2019-12-02,2271.0,2297.8,2270.1,2286.3,15694,
2019-12-03,2259.8,2277.0,2243.1,2272.0,16237,
2019-12-04,2275.7,2286.1,2254.0,2260.0,16760,
2019-12-05,2278.8,2284.1,2271.3,2275.1,14354,
2019-12-06,2298.5,2305.7,2279.9,2280.0,14354,
2019-12-09,2288.8,2300.6,2286.6,2299.9,8479,
2019-12-10,2288.0,2292.2,2275.0,2288.2,10069,
2019-12-11,2291.7,2294.4,2283.8,2289.7,10658,
2019-12-12,2313.6,2318.3,2287.8,2296.7,47233,
2019-12-13,2301.8,2325.4,2295.0,2315.7,47233,
2019-12-16,2315.2,2324.6,2303.5,2303.8,49833,
2019-12-17,2321.8,2323.0,2311.2,2315.4,27801,
2019-12-18,2322.6,2325.7,2314.6,2320.1,15515,
2019-12-19,2330.9,2332.3,2320.2,2324.0,12601,
2019-12-20,2340.5,2346.9,2328.8,2331.3,12864,
2019-12-23,2339.2,2346.9,2334.0,2341.8,10593,
2019-12-24,2338.1,2342.0,2336.6,2340.5,5120,
2019-12-26,2342.7,2344.9,2336.7,2339.7,9982,
2019-12-27,2338.0,2350.4,2334.3,2343.1,9982,
2019-12-30,2335.9,2343.0,2328.3,2334.7,12725,
2019-12-31,2337.8,2345.1,2329.7,2334.6,17326,
2020-01-02,2339.4,2353.6,2320.4,2341.1,17774,
2020-01-03,2329.5,2342.9,2305.2,2341.2,17655,
2020-01-06,2328.1,2329.9,2310.0,2319.4,14940,
2020-01-07,2322.9,2332.7,2316.1,2325.7,13956,
2020-01-08,2326.2,2334.3,2287.0,2318.9,17616,
2020-01-09,2332.1,2337.7,2325.6,2330.7,12418,
2020-01-10,2325.8,2337.0,2320.3,2332.0,10497,
2020-01-13,2342.5,2343.4,2322.2,2325.5,11665,
2020-01-14,2347.7,2354.2,2331.0,2340.9,13224,
2020-01-15,2350.8,2359.2,2341.3,2348.8,17021,
2020-01-16,2373.8,2374.4,2354.4,2354.4,18737,
2020-01-17,2369.4,2381.5,2366.3,2373.0,13847,
2020-01-21,2357.2,2370.7,2353.4,2368.2,14440,
2020-01-22,2355.8,2369.7,2351.9,2357.7,13895,
2020-01-23,2360.6,2364.2,2337.4,2352.9,18434,
2020-01-24,2338.1,2368.2,2326.6,2360.7,18434,
2020-01-27,2308.5,2332.7,2301.3,2332.7,21542,
2020-01-28,2330.1,2335.6,2308.5,2309.6,13687,
2020-01-29,2319.4,2339.0,2317.2,2333.6,12502,
2020-01-30,2321.5,2324.6,2298.4,2323.0,16716,
2020-01-31,2280.0,2325.7,2274.1,2322.7,23961,
2020-02-03,2302.2,2312.2,2280.9,2281.7,18180,
2020-02-04,2329.1,2337.8,2297.2,2298.9,13766,
2020-02-05,2353.2,2355.9,2325.0,2332.4,14173,
2020-02-06,2342.5,2367.1,2341.3,2355.4,11871,
2020-02-07,2322.4,2346.9,2319.1,2345.8,14158,
2020-02-10,2333.4,2336.1,2309.6,2320.5,10426,
2020-02-11,2349.7,2358.5,2334.0,2334.3,11816,
2020-02-12,2363.8,2364.9,2348.4,2351.0,11494,
2020-02-13,2370.5,2373.8,2345.2,2363.7,10134,
2020-02-14,2369.5,2380.0,2361.6,2372.9,10134,
2020-02-18,2362.8,2370.1,2350.3,2369.7,13063,
2020-02-19,2371.0,2380.0,2363.2,2364.5,13296,
2020-02-20,2378.8,2382.1,2354.3,2373.9,15899,
2020-02-21,2357.1,2376.9,2350.9,2376.0,16892,
2020-02-24,2294.8,2346.0,2284.6,2346.0,23128,
2020-02-25,2223.5,2316.3,2220.9,2293.6,35916,
2020-02-26,2194.8,2246.5,2187.3,2228.3,24556,
2020-02-27,2124.2,2197.6,2106.8,2187.9,63815,
2020-02-28,2085.2,2125.4,2041.0,2110.8,63815,
2020-03-02,2146.8,2148.3,2055.7,2072.9,44571,
2020-03-03,2105.0,2178.5,2088.2,2138.9,35166,
2020-03-04,2172.2,2173.8,2091.6,2100.1,27023,
2020-03-05,2102.0,2166.0,2081.5,2162.8,31371,
2020-03-06,2068.7,2109.3,2026.9,2101.9,31371,
2020-03-09,1901.3,2048.5,1891.8,2048.5,29181,
2020-03-10,1964.9,1982.9,1877.6,1894.8,40134,
2020-03-11,1849.9,1960.4,1832.6,1955.8,46823,
2020-03-12,1683.9,1865.5,1671.5,1865.5,53296,
2020-03-13,1818.4,1845.5,1648.5,1681.0,53296,
2020-03-16,1567.6,1741.1,1549.7,1741.1,44950,
2020-03-17,1678.7,1687.6,1578.0,1610.4,42556,
2020-03-18,1528.6,1657.6,1472.2,1656.9,26291,
2020-03-19,1585.4,1612.1,1471.8,1540.3,18640,
2020-03-20,1531.0,1645.6,1510.1,1562.2,11141,
2020-03-23,1486.0,1576.0,1442.9,1468.1,12247,
